;german;english;hour;minute
0;0,33 cola;0.33 cola;12;13
1;0,66ml Cola;0.66ml Cola;11;37
2;0.75 l hohes C;0.75L high C;23;23
3;1 Aufbackbrötchen;1 baked buns;9;35
4;1 bot mit Käse 1 Tee 0,4;1 bread with cheese 1 tea 0.4;9;50
5;1 Brot mit Käse;1 bread with cheese;12;13
7;1 Brot mit Wurst 1 knoppers;1 bread with sausage 1 knoppers;8;42
8;1 brot mit wurst 3 Pick ups 1×tee;1 bread with sausage 3 pick ups 1×tea;8;45
9;1 Brötchen mit Frischkäse;1 bun with cream cheese;19;0
10;1 Brötchen mit Käse und Marmelade und ein gekochtes Ei;1 bun with cheese and jam and a boiled egg;9;0
11;1 duplo;1 duplo;15;1
12;1 Glas Rotwein trocken;1 glass of dry red wine;21;0
13;1 Glas Wein;1 glass of wine;21;0
14;1 große Portion Gemüsesuppe mit 1EL Cremefraiche;1 large portion of vegetable soup with 1 tablespoon of cremefraiche;17;0
15;1 grüne Gurke mit Frischkäse;1 green cucumber with cream cheese;20;0
16;1 jumbodöner 0,33 Cola;1 jumbo doner 0.33 cola;20;25
17;1 Kaffee;1 coffee;14;0
18;1 Kaukau 0,3;1 hot chocolate 0.3;7;37
19;1 kleines Stück Tiramesu und Erdbeeren;1 small piece of tiramisu and strawberries;16;0
20;1 knoppers 40g;1 knoppers 40g;6;50
21;1 Scheibe Salami und 300 ml Milch;1 slice of salami and 300 ml milk;5;15
22;1 snickers 2 hanuta;1 snickers 2 hanuta;7;42
23;1 snikers;1 snickers;9;51
24;1 Spaghetti Pizza mit Käse und Bolognese;1 spaghetti pizza with cheese and bolognese;13;0
25;1 Stück Brownie;1 piece of brownie;15;13
26;1 Stück Kuchen;1 piece of cake;15;0
27;1 Tee 0,3ml 2 knoppers 80g;1 tea 0.3ml 2 knoppers 80g;10;47
28;1 Twix 1 Mars;1 Twix 1 Mars;18;55
29;1,1l cola;1.1l cola;21;17
30;1,5 Brötchen mit Marmelade und Käse;1.5 buns with jam and cheese;9;0
31;1/2 Brötchen mit Marmelade;1/2 buns with jam;7;15
32;100 g Erdnüsse im Tegmantel;100 g peanuts in a dough coating;17;30
33;100g chokolade 0,3 ml Kaukau;100g chocolate 0.3 ml hot chocolate;10;53
34;100g Erdnüsse in teigmantek;100g peanuts in dough coating;22;24
35;100g Schokolade Tee 0,3;100g chocolate tea 0.3;7;25
36;100g Spagetti, 200g Tofu, 35g Barilla Pesto Rosso, 2EL Öl, 2EL Tomatenmark, Sojasauce;100g spaghetti, 200g tofu, 35g Barilla Pesto Rosso, 2tbsp oil, 2tbsp tomato paste, soy sauce;18;14
37;150 g m&m;150 g m&m;22;2
38;150 g Skyr 1 Apfel 1Banane;150 g Skyr 1 apple 1 banana;7;55
40;160g Joghurt Natur 9,4 Fett 1Apfel;160g yogurt natural 9.4% fat 1 apple;7;0
41;170 g Nudeln +150 g Hühnchen, zwei Teelöffel Pasta Sauce;170 g pasta +150 g chicken, two teaspoons of pasta sauce;17;50
42;180g Hüft Steak mit Bratkartoffeln;180g hip steak with fried potatoes;14;30
43;1Apfel;1apple;10;29
44;1brot mit Käse 0,33 l cola;1 bread with cheese 0.33 l cola;9;0
45;1brot mit Käse 1 Tee 0,4;1 bread with cheese 1 tea 0.4;7;35
46;1brot mit Wurst 500 ml Wasser;1 bread with sausage 500 ml water;8;51
47;1Brot, Gutfried Wir Fleischwurst 15g, Magerine 5g;1 bread, Gutfried Wie Fleischwurst 15g, margerine 5g;7;6
48;1Brötchen Käse , Wurst, Rührei;1 roll of cheese, sausage, scrambled eggs;11;30
49;1Brötchen,1 Ei,25g Pesto, 30g Gutfried wie Fleischwurst, 30g Ziegenweichkäse;1 roll, 1 egg, 25g pesto, 30g Gutfried Wie Fleischwurst, 30g soft goat cheese;20;0
50;1Dinkelbrötchen Butter Zwiebelmett Käse;1 spelled roll butter onion meat cheese;12;28
51;1Käseschnecke vom Bäcker;1 cheese-snail from the bakery;9;12
52;1l Cola;1l Cola;19;56
53;1Schwarzbrot , Butter , 2 Eier;1 brown bread, butter, 2 eggs;13;27
54;1Stück schokokuchen & Fritz kola zuckerfrei;1 piece of chocolate cake & Fritz kola sugar-free;17;42
55;1x Apfel;1x apple;8;0
56;2 Backcamembert 468 kcal, 2 Teelöffel Marmelade;2 baked Camembert 468 kcal, 2 teaspoons of jam;12;32
57;2 Baguette 566 kcal;2 baguettes 566 kcal;19;5
58;2 Brötchen mit Käse und Marmelade;2 rolls with cheese and jam;10;0
59;2 Brötchen mit Käse und Marmelade und Honig und ein gekochtes Ei;2 rolls with cheese and jam and honey and a boiled egg;9;0
60;2 Brötchen, 2 Eier gekocht, Butter, Marmelade 2 EL, Fleischsalat 1EL, Lachs, Gurke, Tomate;2 rolls, 2 eggs boiled, butter, jam 2 tbsp, meat salad 1 tbsp, salmon, cucumber, tomato;11;30
61;2 Brötchen, 2 Scheiben Salamie, 2 Scheiben Ziegenkäse, Eiersalat-Aufstrich ca. 1 EL, Marmelade 2. TL, Butter;2 rolls, 2 slices of salami, 2 slices of goat cheese, egg salad spread approx. 1 tbsp, jam 2. tsp, butter;11;30
62;2 Brote mit Käse und Marmelade;2 breads with cheese and jam;9;0
63;2 Burgerbrötchen Goldähren, 1/2 Veganes Steak Aldi, 5 mini Veggie Frikadellen Aldi, Aioli ca 30g,3 Kirschpaprika mit Frischkäsefüllung, 1/2Avocado;2 Goldähren burger buns, 1/2 vegan steak Aldi, 5 mini veggie meatballs Aldi, aioli approx. 30g, 3 cherry peppers with cream cheese filling, 1/2 avocado;20;0
64;2 Dinkelbrote, eins mit Hüttenkäse und Marmelade das andere mit Löwenzahnhonig;2 spelled breads, one with cottage cheese and jam the other with dandelion honey;8;0
65;2 Finn crisp, 50g Ziegenweichkäse;2 Finn crisp, 50g soft goat cheese;15;0
66;2 Graubrote mit Nutella;2 brown breads with Nutella;10;0
67;2 hanuta 1 tee;2 hanuta 1 tea;7;38
68;2 Kaffee;2 coffees;7;30
72;2 kleine Scheiben Vollkorn Basenbrot 60 Gramm, mit Frischkäse und Marmelade und 1 Ei;2 small slices of wholemeal base bread 60 grams, with cream cheese and jam and 1 egg;9;0
73;2 Kugeln Eis 1x Pistazie, 1x Oreo;2 scoops of ice cream 1x pistachio, 1x Oreo;15;15
74;"2 Romana salatherzen (ca je 100g) ; the wonder chunks chicken style 185g; Dressing aus: 25g veg. Majo, 50ml Haferdrink, 1Knoblauchzehe, 1ELZitronensaft, 1EL Alpro Haferjoghurt";"2 romaine lettuce hearts (approx. 100g each); the wonder chunks chicken style 185g; Dressing from: 25g veg. Mayo, 50ml oat drink, 1 garlic clove, 1 tbsp lemon juice, 1 tbsp Alpro oat yoghurt";14;30
75;2 Scheiben Brot mit Eiersalat-Aufstrich;2 slices of bread with egg salad spread;19;39
77;2 Scheiben dinkelbrot mit Butter und salami;2 slices of spelled bread with butter and salami;14;0
78;2 Scheiben Graubrot mit Butter und Banane;2 slices of brown bread with butter and banana;9;6
79;2 Schoko Keckse, 28gr. 136 Kalorien;2 chocolate cookies, 28gr. 136 calories;16;0
80;2 Spiegeleier 2 Bacon 1 Schwarzbrot;2 fried eggs 2 bacon 1 brown bread;20;1
81;2 Stück Sahnetorte;2 pieces of cream cake;15;0
82;2 Toastbrot, 1 Birne;2 pieces of toast, 1 pear;15;30
83;210g kockies;210g cookies;21;0
84;250 g Quark +30 g, Eiweißpulver, zwei Scheiben Kartoffel Brot, etwas Butter und ein Forellenfilet 125 g;250 g quark + 30 g, protein powder, two slices of potato bread, a little butter and a trout fillet 125 g;18;30
85;250 g Skyr 153 kcal , 1 Apfel, 1Banane , 100g Schokolade;250 g Skyr 153 kcal, 1 apple, 1 banana, 100g chocolate;10;31
86;250 Gramm Erdbeeren und frische Ananas 2 Stücke;250 grams of strawberries and fresh pineapple 2 pieces;14;30
87;250g Skyr 153kcal, 1 kleiner Apfel;250g Skyr 153kcal, 1 small apple;10;3
88;250ml Wasser;250ml water;21;0
89;2brot mit Wurst 1knoppers 40g;2 bread with sausage 1knoppers 40g;11;28
90;2brot mit Wurst 4 Pick ups 1+tee;2 bread with sausage 4 pick ups 1+tea;11;30
91;2Brote mit Veggie Aufstrich Aubergine ca 40g;2 breads with veggie spread eggplant approx. 40g;12;58
