english;time
0,33 cola;12:13
0,66ml Cola;11:37
0.75 l hohes C;23:23
1 Aufbackbrötchen;9:35
1 bot mit Käse 1 Tee 0,4;9:50
1 Brot mit Käse;12:13
1 Brot mit Käse;15:2
1 Brot mit Wurst 1 knoppers;8:42
1 brot mit wurst 3 Pick ups 1×tee;8:45
1 Brötchen mit Frischkäse;19:00
1 Brötchen mit Käse und Marmelade und ein gekochtes Ei;9.00
1 duplo;15:01
1 Glas Rotwein trocken;21:00
1 Glas Wein;21:00
1 große Portion Gemüsesuppe mit 1EL Cremefraiche;17:00
1 grüne Gurke mit Frischkäse;20:00 Uhr
1 jumbodöner 0,33 Cola;20:25
1 Kaffee;14.00
1 Kaukau 0,3;7:37
1 kleines Stück Tiramesu und Erdbeeren;16:00
1 knoppers 40g;6:50
1 Scheibe Salami und 300 ml Milch;5:15
1 snickers 2 hanuta;7:42
1 snikers;9:51
1 Spaghetti Pizza mit Käse und Bolognese;13.00
1 Stück Brownie;15:13
1 Stück Kuchen;15:00
1 Tee 0,3ml 2 knoppers 80g;10:47
1 Twix 1 Mars;18:55
1,1l cola;21:17
1,5 Brötchen mit Marmelade und Käse;9.00
1/2 Brötchen mit Marmelade;7:15
100 g Erdnüsse im Tegmantel;17:30
100g chokolade 0,3 ml Kaukau;10:53
100g Erdnüsse in teigmantek;22:24
100g Schokolade Tee 0,3;7:25
100g Spagetti, 200g Tofu, 35g Barilla Pesto Rosso, 2EL Öl, 2EL Tomatenmark, Sojasauce;18:14
150 g m&m;22:02
150 g Skyr 1 Apfel 1Banane;7:55
150g Skyr , 1 Apfel, 1Banane;9:2
160g Joghurt Natur 9,4 Fett 1Apfel;07:00
170 g Nudeln +150 g Hühnchen, zwei Teelöffel Pasta Sauce;17:50
180g Hüft Steak mit Bratkartoffeln;14:30
1Apfel;10:29
1brot mit Käse 0,33 l cola;9:00
1brot mit Käse 1 Tee 0,4;7:35
1brot mit Wurst 500 ml Wasser;8:51
1Brot, Gutfried Wir Fleischwurst 15g, Magerine 5g;7:06
1Brötchen Käse , Wurst, Rührei;11:30
1Brötchen,1 Ei,25g Pesto, 30g Gutfried wie Fleischwurst, 30g Ziegenweichkäse;20:00
1Dinkelbrötchen Butter Zwiebelmett Käse;12:28
1Käseschnecke vom Bäcker;9:12
1l Cola;19:56
1Schwarzbrot , Butter , 2 Eier;13:27
1Stück schokokuchen & Fritz kola zuckerfrei;17:42
1x Apfel;8:00
2 Backcamembert 468 kcal, 2 Teelöffel Marmelade;12:32
2 Baguette 566 kcal;19:5
2 Brötchen mit Käse und Marmelade;10.00
2 Brötchen mit Käse und Marmelade und Honig und ein gekochtes Ei;9.00
2 Brötchen, 2 Eier gekocht, Butter, Marmelade 2 EL, Fleischsalat 1EL, Lachs, Gurke, Tomate;11:30
2 Brötchen, 2 Scheiben Salamie, 2 Scheiben Ziegenkäse, Eiersalat-Aufstrich ca. 1 EL, Marmelade 2. TL, Butter;11:30
2 Brote mit Käse und Marmelade;9.00
2 Burgerbrötchen Goldähren, 1/2 Veganes Steak Aldi, 5 mini Veggie Frikadellen Aldi, Aioli ca 30g,3 Kirschpaprika mit Frischkäsefüllung, 1/2Avocado;20
2 Dinkelbrote, eins mit Hüttenkäse und Marmelade das andere mit Löwenzahnhonig;8.00
